line,item,qty,unit,spec,notes
1,"Tabletop 1000 x 600 WHT",1,ea,"1000 x 600 x 34 mm, white laminate, honeycomb core","Pre-drilled for 4 leg plates"
2,"Leg Ø40 700mm BLK c/w M8 stud",4,ea,"Steel leg 700 mm, black powder coat, M8 stud","Hand tighten clockwise. Do not use tools"
3,"Leg mounting plate M8",4,ea,"Steel plate with M8 thread, 5 holes","One per leg, fixed with 5 plate screws"
4,"Plate screw 4x16",20,ea,"4 x 16 mm wood screw, zinc","5 per mounting plate"
5,"Rear crossbar pine 820",1,ea,"820 x 60 x 18 mm pine, sanded","Sits between the two rear legs, 450 mm from the tabletop"
6,"Crossbar clamp 40mm",2,ea,"40 mm pipe clamp, rubber lined","One per rear leg"
7,"Cable tray wire 500",1,ea,"500 x 120 x 80 mm wire tray, white","Open side faces the rear edge. 100 mm in from the rear edge, centred"
8,"Tray screw 4x12",4,ea,"4 x 12 mm wood screw, pan head","Shorter than the plate screw: do not swap them or they break through the top"
9,"Power strip 6 outlet",1,ea,"6 outlet, 300 mm, 1.5 m lead","Lies inside the tray, cable end to the right"
10,"Power cable 2m",1,ea,"2 m, 3 x 1.5 mm2","Through the tray to the right rear leg, then down the leg"
11,"Cable clip 8mm adhesive",4,ea,"8 mm adhesive clip","Every 200 mm down the right rear leg. Keep clear of the leg thread"
